0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,0,6,0,8,0,10,0,12,0,14,0,16,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,0,6,0,8,0,10,0,12,0,14,0,16,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,0,6,0,8,0,10,0,12,0,14,0,16,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,0,6,0,8,0,10,0,12,0,14,0,16,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0
22,23,22,23,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
